,t0_F1E_2,t0_F1E_3,t0_F1E_4,t0_F1C_2,t0_F1C_3,t0_F1C_4,LPS_F1E_1,LPS_F1E_2,LPS_F1E_3,LPS_F1C_1,LPS_F1C_2,LPS_F1C_4
PANX2,4.120493979,3.43364274,0,4.979673913,5.343427512,1.096957241,2.163545579,6.976469624,5.096274689,4.445947206,2.062989379,1.010204394
ENSGALG00000000004,27.46995986,39.48689151,38.25349115,19.91869565,13.74024217,29.06936687,9.375364176,24.41764368,30.57764813,38.23514597,11.34644158,41.41838017
C10orf88,6.867489965,3.43364274,0,4.074278656,4.198407331,3.839350342,1.442363719,5.232352218,5.096274689,1.778378882,4.125978757,8.081635155
ENSGALG00000000048,17.85547391,20.60185644,12.75116372,16.74981225,17.9386495,17.55131585,19.47191021,8.72058703,12.74068672,36.45676709,27.85035661,23.23470107
LAMTOR3,362.6034702,269.5409551,257.5735071,329.5638735,317.1705902,361.9958894,330.3012917,322.6617201,322.3393741,324.554146,329.0468059,347.5103117
TUBB3,1403.714949,2056.752001,2259.506211,1738.811591,1234.713429,1179.229034,1069.512698,2065.035009,1280.439016,1125.713832,1305.872277,1220.326908
SPR,114.0003334,135.6288882,211.6693177,124.4918478,120.227119,105.8563737,116.8314613,158.7146839,145.2438286,117.3730062,124.8108574,153.5510679
ENSGALG00000000081,4.120493979,0,2.550232743,1.358092885,0,1.645435861,55.5310032,33.13823071,3.822206017,40.90271429,35.07081944,38.38776699
TIMM17A,629.0620808,561.400588,532.9986433,539.1628755,492.7403513,632.9443278,556.0312138,565.0940395,583.5234519,518.3974442,486.8654934,611.1736586
INTS4,1.373497993,5.15046411,0,5.432371542,4.198407331,3.290871722,6.490636737,3.488234812,8.918480705,1.778378882,6.188968136,3.030613183
ENSGALG00000000094,9.614485951,17.1682137,12.75116372,7.243162055,4.580080724,6.581743443,7.211818597,8.72058703,6.370343361,8.00270497,6.188968136,10.10204394
UBE2T,116.7473294,89.27471124,160.6646628,102.309664,112.9753245,109.6957241,98.08073292,106.3911618,61.15529626,103.1459752,103.1494689,141.4286152
ENSGALG00000000106,31.59045384,29.18596329,45.90418938,33.04692688,46.18248064,42.78133238,33.17436555,38.37058293,34.39985415,45.3486615,42.29128226,20.20408789
PLP1,57.68691571,49.78781973,53.55488761,38.47929842,64.88447693,55.94481927,64.90636737,43.60293515,85.36260104,24.89730435,47.44875571,51.52042411
GNB2L1,1818.511343,2470.505951,2534.931347,1716.629407,1532.418676,1689.31415,1942.142748,2488.855538,1906.006734,1544.522059,1597.785274,1695.122974
TCF25,307.6635504,403.453022,476.893523,369.8539625,372.8949056,370.7715473,396.6500228,406.3793556,375.8502583,396.5784908,352.7711838,399.0307358
ENSGALG00000000137,289.8080765,240.3549918,244.8223434,264.8281126,290.835126,293.9845405,257.4619239,261.6176109,253.5396658,268.5352112,253.7476936,270.7347777
BLB1,9.614485951,37.77007014,17.8516292,15.844417,14.12191557,9.872615165,24.52018323,22.67352628,8.918480705,15.1162205,55.70071323,25.25510986
CEPT1,74.16889163,65.23921206,45.90418938,95.51919961,77.47969892,97.62919441,83.65709572,80.22940068,85.36260104,88.91894412,92.83452204,93.94900868
SUPT6H,1.373497993,0,0,10.86474308,7.25179448,3.839350342,7.211818597,3.488234812,7.644412033,5.335136647,1.031494689,1.010204394
RPL9,2565.694251,2231.867781,2705.796941,1827.540326,1808.750213,1927.353872,1837.571378,2319.67615,1955.695412,1580.089637,1966.028878,2240.633347
ADAMTS19,1.373497993,1.71682137,0,3.168883399,1.526693575,4.936307582,2.884727439,8.72058703,5.096274689,7.113515529,7.220462826,1.010204394
BRD2,439.5193578,499.5950187,456.491661,497.5146937,448.847911,329.6356508,548.8193952,566.8381569,359.2873656,572.6380001,428.0702961,503.0817884
HLA-DMA,108.5063415,127.0447814,168.3153611,116.3432905,64.50280353,122.3107323,116.8314613,94.18233992,72.62191431,104.0351646,78.39359639,89.9081911
ISOC1,83.78337758,70.38967617,33.15302566,97.32999012,76.33467874,84.46570752,59.85809435,106.3911618,94.28108174,91.58651244,83.55106984,58.59185488
ENSGALG00000000162,2.746995986,10.30092822,10.20093097,6.790464427,4.580080724,2.193914481,5.769454877,1.744117406,7.644412033,4.445947206,5.157473447,7.071430761
MYBPH,5.493991972,0,0,5.432371542,7.633467874,3.290871722,0,0,1.274068672,2.667568323,4.125978757,2.020408789
ADORA1,48.07242976,63.52239069,45.90418938,56.58720356,47.70917421,78.4324427,47.59800274,36.62646553,72.62191431,49.7946087,44.35427164,61.62246806
ENSGALG00000000189,0,1.71682137,2.550232743,1.358092885,2.290040362,3.290871722,0,1.744117406,2.548137344,1.778378882,5.157473447,0
SVCT2,2.746995986,8.58410685,2.550232743,5.432371542,3.435060543,4.387828962,3.605909298,5.232352218,11.46661805,10.67027329,4.125978757,10.10204394
PLEKHM1,56.31341772,75.54014028,66.30605133,45.72246047,46.18248064,46.62068272,40.38618414,55.81175699,43.31833485,52.46217703,51.57473447,52.53062851
MCC,4.120493979,3.43364274,2.550232743,2.716185771,1.145020181,1.096957241,3.605909298,0,3.822206017,2.667568323,6.188968136,1.010204394
PRNP,793.88184,697.0294762,601.8549274,867.3686561,923.6496127,783.2274697,1136.582611,1100.538083,1072.765822,1241.30846,984.0459337,1168.806484
ENSGALG00000000218,54.93991972,56.65510521,61.20558584,71.5262253,59.15937602,115.1805103,63.46400365,95.92645733,129.9550046,100.4784068,102.1179742,68.69389882
ENSGALG00000000220,12.36148194,5.15046411,12.75116372,14.93902174,9.541834842,10.42109378,14.42363719,17.44117406,22.9332361,24.89730435,24.75587254,9.09183955
TMEM183A,159.3257672,231.770885,186.1669903,187.4168182,184.7299225,178.2555516,206.2580119,170.9235058,201.3028502,205.4027609,209.3934219,189.9184261
ENSGALG00000000225,2.746995986,10.30092822,22.95209469,4.074278656,4.961754118,2.742393101,6.490636737,1.744117406,0,3.556757765,6.188968136,8.081635155
TMEM9,97.51835751,104.7261036,86.70791327,80.58017787,82.05977964,85.01418614,64.18518551,80.22940068,56.05902158,68.46758697,67.04715481,88.89798671
DPYSL2,519.1822414,763.9855097,652.8595823,496.6092984,436.252689,459.0766052,456.5081172,565.0940395,563.1383531,477.4947299,825.1957515,736.4390035
EPB41L4A,1.373497993,0,2.550232743,0.905395257,2.290040362,3.290871722,1.442363719,5.232352218,1.274068672,0,4.125978757,1.010204394
PPP2R2A,97.51835751,115.0270318,89.25814601,110.910919,97.70838879,112.4381172,129.8127347,87.2058703,101.9254938,113.8162485,97.99199549,102.0306438
STARD4,129.1088113,133.9120669,147.9134991,149.842915,131.6773208,264.9151736,129.8127347,244.1764368,247.1693224,208.0703292,208.3619273,128.2959581
EBF2,1.373497993,0,2.550232743,5.432371542,3.05338715,3.839350342,2.163545579,0,3.822206017,1.778378882,3.094484068,2.020408789
ENSGALG00000000243,8.240987958,5.15046411,2.550232743,10.86474308,7.633467874,4.387828962,3.605909298,5.232352218,5.096274689,4.445947206,8.251957515,10.10204394
CAMK4,10.98798394,10.30092822,7.65069823,17.20250988,15.64860914,15.35740137,18.02954649,24.41764368,15.28882407,29.34325156,14.44092565,9.09183955
WDR36,10.98798394,18.88503507,10.20093097,20.37139328,22.13705683,35.65111032,24.52018323,24.41764368,56.05902158,40.90271429,37.13380882,17.1734747
CD79B,0,1.71682137,0,0.905395257,0,0.54847862,0.72118186,0,0,1.778378882,1.031494689,2.020408789
SLC25A46,10.98798394,17.1682137,7.65069823,14.03362648,16.03028254,18.09979447,22.35663765,22.67352628,10.19254938,31.12163044,16.50391503,18.1836791
PSMF1,252.7236307,290.1428115,351.9321186,265.7335079,311.4454893,242.9760288,247.3653779,299.9881938,219.1398116,219.629792,249.6217148,264.6735513
ENSGALG00000000264,1.373497993,1.71682137,0,0.905395257,6.106774299,3.839350342,2.163545579,0,5.096274689,1.778378882,3.094484068,2.020408789
ENSGALG00000000274,4.120493979,8.58410685,7.65069823,4.074278656,3.435060543,7.130222063,5.048273018,8.72058703,2.548137344,0.889189441,1.031494689,4.040817578
KCTD9,16.48197592,13.73457096,0,28.06725296,13.74024217,15.90587999,19.47191021,5.232352218,14.01475539,23.11892547,17.53540972,12.12245273
GnRH-I,8.240987958,29.18596329,25.50232743,6.790464427,27.48048435,29.61784549,34.61672926,19.18529147,19.11103008,27.56487268,18.56690441,3.030613183
EFNA5,0,3.43364274,0,2.716185771,1.526693575,1.645435861,0.72118186,0,11.46661805,5.335136647,0,1.010204394
PCNX1,5.493991972,5.15046411,2.550232743,4.526976285,2.671713756,1.645435861,3.605909298,1.744117406,6.370343361,7.113515529,5.157473447,1.010204394
NEFL,2415.98297,2667.940409,2611.438329,3354.036729,2896.901058,2908.582123,2578.225148,2030.152661,2557.055825,3208.195504,2102.186177,2931.613153
NEFM,168.9402531,130.4784241,130.0618699,344.5028953,293.1251664,212.261226,162.2659184,88.94998771,171.9992707,302.32441,142.3462671,176.785769
CSRP1,168.9402531,235.2045277,201.4683867,138.5254743,119.4637722,139.8620482,240.1535593,249.4087891,280.2951079,205.4027609,184.6375494,199.0102657
AHCYL1,2120.680901,1903.954899,3241.345817,2495.269328,2981.250878,2765.977682,1366.639624,2115.614413,2251.279344,1121.267885,1358.478506,1761.796464
PSMC5,578.2426551,724.4986182,800.7730814,511.0956225,492.7403513,509.5366382,530.7898487,695.902845,617.923306,535.2920436,519.8733234,554.6022125
TIMM44,96.14485951,70.38967617,73.95674956,132.1877075,94.27332824,108.5987668,103.1290059,97.67057474,114.6661805,93.36489132,75.29911232,105.061257
ADAMDEC1,0,0,2.550232743,1.358092885,2.290040362,2.742393101,1.442363719,0,0,0,0,1.010204394
ENSGALG00000000362,575.4956591,583.7192658,696.2135389,594.3919862,715.2559398,583.0327733,506.9908474,615.6734443,424.2648678,464.1568883,500.2749243,479.8470873
ENSGALG00000000367,50.81942574,41.20371288,56.10512035,60.20878459,64.12113014,40.03893928,58.41573063,74.99704846,38.22206017,45.3486615,59.82669198,48.48981093
RNPEP,108.5063415,63.52239069,127.5116372,41.64818182,82.44145304,91.59592958,90.86891432,85.46175289,62.42936494,72.91353417,62.92117605,56.57144609
HNRNPM,249.9766347,302.1605611,204.0186195,250.3417885,314.4988764,286.8543184,308.6658359,306.9646635,280.2951079,328.1109038,296.0389758,325.285815
ENSGALG00000000379,12.36148194,17.1682137,15.30139646,11.31744071,9.923508236,13.16348689,13.70245533,31.39411331,12.74068672,14.22703106,20.62989379,25.25510986
SLC6A17,5.493991972,3.43364274,2.550232743,0.905395257,2.290040362,0.54847862,0.72118186,3.488234812,0,3.556757765,1.031494689,2.020408789
ENSGALG00000000396,30.21695585,27.46914192,17.8516292,33.49962451,30.5338715,23.58458067,43.99209344,17.44117406,29.30357946,35.56757765,26.81886192,28.28572304
IPO9,87.90387156,58.37192658,51.00465487,94.61380435,112.2119777,117.9229034,116.8314613,118.5999836,94.28108174,104.9243541,108.3069424,77.78573837
DUSP28,12.36148194,5.15046411,5.100465487,8.601254941,12.59522199,14.26044413,5.048273018,8.72058703,31.8517168,12.44865218,7.220462826,5.051021972
ENSGALG00000000400,0,0,2.550232743,2.263488142,4.198407331,0.54847862,0,0,1.274068672,0,1.031494689,0
COPS2,17.85547391,18.88503507,12.75116372,30.33074111,36.2589724,33.45719584,20.19309207,27.9058785,25.48137344,16.89459938,14.44092565,16.16327031
ENSGALG00000000407,2.746995986,0,0,2.716185771,3.435060543,3.839350342,1.442363719,0,2.548137344,1.778378882,0,0
LSM7,37.08444581,37.77007014,40.80372389,42.10087945,42.3657467,41.13589652,35.33791112,43.60293515,45.8664722,41.79190373,41.25978757,39.39797138
CHMP7,266.4586107,317.6119535,433.5395664,290.6318775,279.0032508,330.1841294,325.9742006,301.7323112,315.9690307,296.9892733,273.3460927,274.7755953
TLK2,6.867489965,8.58410685,7.65069823,13.12823123,10.30518163,3.839350342,9.375364176,12.20882184,14.01475539,11.55946273,13.40943096,6.061226366
SLC16A4,12.36148194,8.58410685,7.65069823,6.337766798,7.25179448,9.872615165,13.70245533,20.92940887,11.46661805,15.1162205,16.50391503,12.12245273
LAMTOR5,472.4833096,494.4445546,726.8163318,530.1089229,432.0542817,537.5090479,485.3553916,549.3969829,616.6492373,561.0785374,505.4323978,655.622652
CMTM3,35.71094782,30.90278466,25.50232743,25.80376482,27.48048435,24.13305929,48.3191846,34.88234812,39.49612884,36.45676709,29.91334599,32.32654062
ENSGALG00000000428,1156.48531,966.5704313,1236.86288,903.5844664,801.8958002,2108.900295,795.4635912,1709.235058,1784.97021,1494.727451,1495.6673,976.8676494
SPPL2B,6.867489965,5.15046411,0,6.337766798,6.106774299,9.324136544,4.327091158,10.46470444,10.19254938,2.667568323,7.220462826,5.051021972
ENSGALG00000000433,718.3394504,963.1367886,969.0884424,982.8065514,818.3077561,1015.233926,914.4585981,673.2293187,764.4412033,899.8597144,651.9046437,886.9594583
KCNA2,20.6024699,6.86728548,2.550232743,17.20250988,10.68685502,12.06652965,10.8177279,6.976469624,10.19254938,14.22703106,13.40943096,4.040817578
MEIG1,0,0,0,1.358092885,0.381673394,0,0.72118186,0,1.274068672,1.778378882,1.031494689,1.010204394
ENSGALG00000000452,1.373497993,0,0,2.263488142,3.05338715,1.096957241,2.884727439,1.744117406,0,4.445947206,2.062989379,2.020408789
MRPS21,836.4602778,733.082725,861.9786672,564.9666403,483.5801898,647.7532505,602.9080347,640.091088,645.9528168,505.948792,510.5898712,672.7961267
LMNB2,31.59045384,15.45139233,30.60279292,18.10790514,19.84701647,21.39066619,22.35663765,20.92940887,22.9332361,25.78649379,26.81886192,31.31633623
RPL36,3047.792047,2446.470452,3274.498842,2462.222401,2246.529595,2876.770363,2661.882244,2722.567271,2365.945524,2177.624941,2349.744902,3091.225447
ENSGALG00000000498,17.85547391,12.01774959,51.00465487,18.56060277,16.41195593,18.09979447,14.42363719,34.88234812,29.30357946,31.12163044,19.5983991,28.28572304
ETV7,0,0,0,0,0,0.54847862,9.375364176,12.20882184,0,0,4.125978757,10.10204394
KCNH6,9.614485951,10.30092822,17.8516292,7.243162055,6.870121087,8.775657924,10.09654604,15.69705665,8.918480705,4.445947206,11.34644158,2.020408789
CPNE7,336.5070083,478.9931622,385.0851442,368.9485672,191.6000436,309.3419418,343.2825652,235.4558498,94.28108174,164.5000466,250.6532095,91.92859989
DCAF7,23.34946588,5.15046411,7.65069823,31.23613636,19.46534308,41.68437514,24.52018323,24.41764368,21.65916743,45.3486615,22.69288317,20.20408789
KCTD20,20.6024699,34.3364274,35.70325841,27.61455534,17.55697611,24.68153791,36.78027484,17.44117406,30.57764813,30.232441,25.78736723,36.3673582
ZNF276,39.8314418,29.18596329,30.60279292,37.12120553,38.54901276,38.94198204,44.7132753,34.88234812,39.49612884,39.12433541,43.32277695,27.27551865
FANCA,70.04839765,44.63735562,40.80372389,59.30338933,54.5792953,29.61784549,46.15563902,73.25293105,62.42936494,61.35407144,48.4802504,100.010235
KLHL12,946.3401172,1158.854425,1313.369863,1022.191245,861.4368496,952.1588848,939.6999632,933.1028122,797.5669888,870.5164629,841.6996665,913.2247725
SPIRE2,17.85547391,24.03549918,28.05256018,16.74981225,13.74024217,11.51805103,15.86600091,6.976469624,21.65916743,14.22703106,13.40943096,13.13265713
STK38,4.120493979,0,0,3.621581028,2.671713756,2.193914481,0.72118186,5.232352218,2.548137344,0.889189441,1.031494689,2.020408789
MAP3K3,4.120493979,0,2.550232743,0.452697628,1.145020181,0.54847862,1.442363719,1.744117406,5.096274689,3.556757765,1.031494689,1.010204394
DBNDD1,324.1455264,504.7454828,581.4530655,368.9485672,364.8797644,352.6717528,307.9446541,395.9146512,337.6281981,283.6514317,279.5350608,338.4184721
LIMD2,82.40987958,70.38967617,107.1097752,60.66148221,65.64782372,62.52656271,85.8206413,80.22940068,66.25157095,47.12704038,58.79519729,58.59185488
SRSF3,523.3027354,592.3033727,609.5056256,455.8665119,524.0375695,507.8912024,490.4036646,601.7205051,517.2718809,465.9352672,533.2827544,541.4695554
ENSGALG00000000538,63.18090768,60.08874795,66.30605133,57.03990119,56.48766227,50.46003306,41.107366,81.97351808,57.33309025,51.57298759,68.0786495,54.5510373
GAS8,64.55440567,116.7438532,153.0139646,66.99924901,97.32671539,86.659622,103.1290059,104.6470444,89.18480705,117.3730062,91.80302735,95.96941747
ENSGALG00000000541,61.80740969,42.92053425,53.55488761,62.0195751,104.5785099,61.97808409,73.56054969,68.02057883,66.25157095,67.57839753,88.70854329,81.82655595
ZNF593,727.9539363,887.5966483,918.0837876,585.7907312,523.2742228,727.2826505,668.5355839,627.8822662,597.5382073,560.1893479,624.0542871,718.2553244
RAB44,1.373497993,8.58410685,5.100465487,2.716185771,3.05338715,1.096957241,1.442363719,0,5.096274689,5.335136647,1.031494689,7.071430761
ENSGALG00000000549,39.8314418,127.0447814,73.95674956,95.06650198,102.2884695,46.0722041,35.33791112,169.1793884,70.07377697,59.57569256,46.41726102,53.5408329
STRADA,60.43391169,58.37192658,56.10512035,53.41832016,66.4111705,74.04461373,82.93591386,78.48528327,96.82921909,81.80542859,69.11014419,72.7347164
C6orf89,65.92790367,72.10649754,68.85628407,61.11417984,70.22790444,68.55982753,64.90636737,87.2058703,77.718189,86.25137579,64.98416543,75.76532958
SLC1A6,60.43391169,115.0270318,81.60744778,56.58720356,64.12113014,51.00851168,126.2068254,69.76469624,47.14054087,45.3486615,51.57473447,60.61226366
CCDC47,16.48197592,10.30092822,28.05256018,14.03362648,20.99203665,22.48762343,7.211818597,20.92940887,19.11103008,24.00811491,9.283452204,19.19388349
PER3,8.240987958,12.01774959,15.30139646,4.074278656,6.488447693,5.484786203,3.605909298,1.744117406,3.822206017,6.224326088,4.125978757,1.010204394
RRNAD1,19.2289719,24.03549918,7.65069823,11.31744071,14.50358896,15.90587999,12.98127347,17.44117406,8.918480705,12.44865218,13.40943096,12.12245273
RANBP3,0,0,0,0.452697628,1.145020181,1.096957241,2.163545579,0,1.274068672,0.889189441,0,4.040817578
VAMP3,31.59045384,27.46914192,43.35395664,23.08757905,37.40399258,26.32697377,26.68372881,41.85881774,50.96274689,17.78378882,37.13380882,53.5408329
DDX42,123.6148194,130.4784241,84.15768053,87.37064229,102.6701429,111.8896385,93.0324599,90.69410511,100.6514251,83.58380747,109.3384371,84.85716913
ENSGALG00000000585,780.1468601,806.9060439,762.5195902,486.197253,534.7244246,514.4729458,473.8164818,722.0646061,565.6864904,488.1650032,644.6841809,602.0818191
ENSGALG00000000589,5.493991972,6.86728548,2.550232743,5.88506917,5.725100905,4.387828962,2.163545579,8.72058703,2.548137344,0,6.188968136,6.061226366
CDC27,83.78337758,49.78781973,25.50232743,96.42459486,81.29643286,79.52939994,58.41573063,55.81175699,73.89598299,104.9243541,75.29911232,32.32654062
Mar-02,2.746995986,0,0,0.452697628,1.145020181,0,0,0,0,0.889189441,0,0
KANSL1,30.21695585,70.38967617,71.40651681,57.49259881,55.34264209,44.42676824,54.80982134,59.2999918,50.96274689,54.24055591,49.51174509,63.64287685
ARL8A,554.8931892,691.8790121,708.9647026,540.973666,493.5036981,596.1962602,658.4390379,620.9057965,513.4496749,588.64341,537.4087332,587.9389575
GPR37L1,1034.243989,1289.332849,1729.0578,1287.019358,1217.538126,1304.830638,877.6783232,1022.0528,1062.573273,726.4677734,971.6679974,920.2962033
CDH1,0,1.71682137,0,1.810790514,0.763346787,0.54847862,3.605909298,6.976469624,1.274068672,0,5.157473447,3.030613183
RAB11B,972.4365791,724.4986182,527.8981779,995.482085,854.5667285,871.5325276,768.7798624,800.5498893,819.2261562,850.9542952,839.6366771,863.7247572
SNRNP40,56.31341772,87.55788987,96.90884424,75.14780632,61.44941639,76.23852822,63.46400365,76.74116586,76.44412033,64.9108292,78.39359639,66.67349003
ELF3,0,5.15046411,0,0.452697628,1.526693575,1.096957241,7.933000457,0,0,6.224326088,1.031494689,1.010204394
ZCCHC17,270.5791046,307.3110252,316.2288602,265.7335079,275.9498636,289.0482329,250.9712872,376.7293597,279.0210392,307.6595466,272.314598,265.6837557
KANK3,0,1.71682137,0,1.358092885,2.671713756,1.645435861,1.442363719,0,0,0.889189441,2.062989379,0
MAPT,85.15687557,130.4784241,124.9614044,113.6271047,132.0589942,115.7289889,126.2068254,92.43822252,86.63666971,134.2676056,139.2517831,121.2245273
DNAJC11,46.69893176,34.3364274,25.50232743,38.93199605,29.77052471,31.81175997,40.38618414,29.6499959,35.67392282,44.45947206,23.72437786,40.40817578
ENSGALG00000000629,1045.231973,853.2602209,976.7391407,853.3350296,795.0256791,909.3775524,813.4931377,699.3910798,742.7820359,719.3542579,734.4242188,873.8268012
CHTF8,8.240987958,17.1682137,20.40186195,13.58092885,16.03028254,10.42109378,7.933000457,13.95293925,7.644412033,8.891894412,8.251957515,12.12245273
MDM4,0,3.43364274,0,1.810790514,1.145020181,2.742393101,2.163545579,0,1.274068672,2.667568323,2.062989379,2.020408789
ZBTB48,12.36148194,18.88503507,30.60279292,26.70916008,24.80877059,20.84218757,17.30836463,19.18529147,16.56289274,32.90000932,20.62989379,33.33674502
LRRN2,45.32543377,68.6728548,91.80837876,43.45897233,67.55619068,64.72047719,44.7132753,57.5558744,39.49612884,55.12974535,62.92117605,38.38776699
ESPN,13.73497993,87.55788987,51.00465487,13.12823123,9.923508236,9.872615165,7.933000457,15.69705665,8.918480705,5.335136647,4.125978757,2.020408789
NIP7,138.7232973,149.3634592,160.6646628,128.1134289,116.0287117,138.2166123,143.5151901,212.7823235,169.4511334,115.5946273,146.4722459,149.5102504
ACOT7,1602.872158,2139.159427,1961.12898,1943.430919,1510.663292,1855.503172,1704.152734,1567.961548,1435.875394,1677.011286,1436.872102,1721.388288
CNTN2,118.1208274,132.1952455,117.3107062,140.3362648,158.3944584,144.7983557,98.80191478,118.5999836,95.55515041,103.1459752,102.1179742,105.061257
ENSGALG00000000657,39.8314418,37.77007014,40.80372389,41.64818182,42.3657467,37.8450248,46.87682088,47.09116996,64.97750228,48.90541926,50.54323978,44.44899335
CYB5B,434.0253658,374.2670587,385.0851442,382.9821937,382.4367405,456.8826907,388.7170224,329.6381897,346.5466788,383.2406491,397.1254554,434.3878896
EDN2,5.493991972,3.43364274,0,2.263488142,3.816733937,1.096957241,5.769454877,5.232352218,7.644412033,1.778378882,6.188968136,2.020408789
RBBP5,70.04839765,53.22146247,56.10512035,76.50589921,83.20479983,75.14157098,83.65709572,85.46175289,82.81446369,94.25408076,100.0549849,84.85716913
MYO1D,89.27736955,159.6643874,221.8702487,181.9844466,140.8374823,136.5711764,113.9467338,172.6676232,131.2290732,105.8135435,82.51957515,106.0714614
CITED4,49.44592775,72.10649754,20.40186195,56.58720356,45.80080724,62.52656271,65.62754923,22.67352628,73.89598299,68.46758697,53.63772385,51.52042411
PAK1,34.33744983,36.05324877,43.35395664,43.45897233,32.82391186,37.29654618,36.78027484,31.39411331,52.23681556,39.12433541,51.57473447,52.53062851
KLHDC8A,0,5.15046411,2.550232743,1.810790514,1.526693575,3.839350342,0,0,3.822206017,0.889189441,2.062989379,1.010204394
MAP3K14,0,0,0,3.621581028,1.526693575,1.645435861,5.769454877,8.72058703,1.274068672,2.667568323,6.188968136,5.051021972
NOB1,8.240987958,6.86728548,2.550232743,4.526976285,6.488447693,9.324136544,9.375364176,10.46470444,11.46661805,9.781083853,12.37793627,1.010204394
MFSD4A,46.69893176,42.92053425,28.05256018,51.15483202,35.49562561,41.68437514,33.17436555,31.39411331,44.59240353,23.11892547,27.85035661,37.37756259
WWP2,35.71094782,66.95603343,86.70791327,54.77641304,57.63268245,57.59025513,67.06991295,69.76469624,58.60715892,56.01893479,59.82669198,55.56124169
PSMD7,483.4712936,491.0109118,484.5442212,514.2645059,525.5642631,488.145972,513.4814841,409.8675904,480.3238894,531.7352858,519.8733234,534.3981246
NUCKS1,245.8561408,250.65592,303.4776964,287.0102964,333.2008727,273.6908315,289.1939257,226.7352628,301.9542753,302.32441,288.818513,273.7653909
RAB29,32.96395183,41.20371288,35.70325841,42.10087945,37.78566598,46.62068272,48.3191846,33.13823071,39.49612884,54.24055591,30.94484068,48.48981093
ZFHX3,204.651201,197.4344576,206.5688522,225.443419,218.3171812,195.8068674,202.6521026,230.2234976,198.7547129,216.9622236,215.5823901,225.27558
RPL22,1898.174226,1639.564408,2050.387126,1459.949852,1422.115065,1603.751486,1477.70163,1580.17037,1321.209213,1389.803097,1376.013916,1460.755554
ENSGALG00000000720,61.80740969,89.27471124,96.90884424,59.75608696,41.22072652,56.49329789,285.5880164,286.0352546,211.4953996,198.2892454,328.0153112,237.3980327
STX12,427.1578758,348.5147381,249.9228088,412.8602372,383.2000873,389.4198204,345.4461108,279.058785,364.3836402,441.9271523,374.4325722,422.2654369
PM20D1,42.57843778,24.03549918,25.50232743,65.1884585,43.89244028,32.3602386,33.17436555,26.16176109,35.67392282,26.67568323,26.81886192,36.3673582
ELAVL1,70.04839765,92.70835398,45.90418938,90.53952569,90.45659431,85.56266476,98.08073292,64.53234402,91.7329444,94.25408076,89.74003797,86.87757792
PPP1R8,56.31341772,48.07099836,43.35395664,63.37766798,40.07570634,42.23285376,51.20391204,55.81175699,76.44412033,58.68650312,58.79519729,48.48981093
ENSGALG00000000734,166.1932572,209.4522071,183.6167575,161.1603557,185.8749427,173.8677226,154.332918,191.8529147,196.2065755,143.1595,171.2281184,205.0714921
SMPDL3B,31.59045384,13.73457096,43.35395664,32.14153162,45.80080724,31.26328135,36.05909298,31.39411331,25.48137344,23.11892547,20.62989379,23.23470107
CHD5,30.21695585,27.46914192,35.70325841,45.72246047,78.6247191,44.42676824,37.5014567,26.16176109,33.12578548,44.45947206,39.1967982,23.23470107
TJP3,5.493991972,3.43364274,2.550232743,2.716185771,1.908366968,1.645435861,2.884727439,1.744117406,5.096274689,1.778378882,0,1.010204394
ARNT,101.6388515,115.0270318,124.9614044,84.65445652,76.71635213,86.11114338,98.08073292,144.7617447,128.6809359,99.58921741,110.3699318,61.62246806
ACER3,5.493991972,10.30092822,2.550232743,5.432371542,8.396814661,3.290871722,5.769454877,8.72058703,11.46661805,5.335136647,3.094484068,10.10204394
TSKU,1.373497993,6.86728548,2.550232743,2.263488142,4.961754118,6.033264823,6.490636737,3.488234812,3.822206017,6.224326088,7.220462826,7.071430761
SSR2,502.7002655,659.2594061,749.7684265,547.3114328,489.6869641,525.4425182,535.8381217,615.6734443,579.7012458,475.716351,564.2275951,601.0716147
RAB7B,78.2893856,42.92053425,86.70791327,56.58720356,54.96096869,56.49329789,52.64627576,36.62646553,67.52563963,35.56757765,36.10231413,46.46940214
CTSS,64.55440567,61.80556932,76.5069823,49.3440415,53.81594851,74.04461373,113.9467338,111.623514,81.54039502,57.79731367,93.86601673,103.0408482
EYA3,87.90387156,65.23921206,84.15768053,62.92497036,72.5179448,76.23852822,93.75364176,102.902927,98.10328776,100.4784068,80.45658577,117.1837098
PIPKIgamma87,5.493991972,3.43364274,7.65069823,4.526976285,4.198407331,6.581743443,7.933000457,3.488234812,10.19254938,4.445947206,4.125978757,12.12245273
HYAL1,63.18090768,99.57563946,84.15768053,57.49259881,67.93786408,69.65678477,87.26300502,47.09116996,56.05902158,80.0270497,67.04715481,59.60205927
CTSE,5.493991972,0,2.550232743,2.263488142,2.290040362,3.839350342,0.72118186,0,2.548137344,0,0,1.010204394
DHX38,72.79539363,99.57563946,140.2628009,76.05320158,82.05977964,80.62635718,106.7349152,101.1588095,96.82921909,76.47029194,87.6770486,95.96941747
DNAJC8,380.4589441,357.098845,351.9321186,444.5490711,464.8781935,420.6831017,404.5830233,361.032303,356.7392282,437.481205,417.7553492,358.62256
ENSGALG00000000791,38.45794381,10.30092822,7.65069823,21.72948617,12.97689539,19.19675171,16.58718277,12.20882184,14.01475539,22.22973603,22.69288317,32.32654062
