,t0_F1E_2,t0_F1E_3,t0_F1E_4,t0_F1C_2,t0_F1C_3,t0_F1C_4,LPS_F1E_1,LPS_F1E_2,LPS_F1E_3,LPS_F1C_1,LPS_F1C_2,LPS_F1C_4
XRCC2,23.34946588,34.3364274,33.15302566,29.87804348,29.00717792,38.94198204,31.01081997,33.13823071,31.8517168,28.45406212,26.81886192,32.32654062
ENSGALG00000026884,0,1.71682137,0,0,0,0.54847862,0.72118186,0,1.274068672,0.889189441,2.062989379,0
SNORA5,2.746995986,3.43364274,2.550232743,3.621581028,3.816733937,1.096957241,3.605909298,3.488234812,2.548137344,4.445947206,2.062989379,0
NINJ1,35.71094782,25.75232055,48.45442212,33.04692688,27.86215774,38.39350342,27.40491067,41.85881774,39.49612884,36.45676709,25.78736723,43.43878896
ENSGALG00000026896,8.240987958,1.71682137,15.30139646,4.074278656,3.05338715,3.839350342,7.933000457,13.95293925,12.74068672,7.113515529,10.31494689,9.09183955
P2RX6,5.493991972,3.43364274,0,2.263488142,4.961754118,7.678700684,2.884727439,3.488234812,5.096274689,1.778378882,4.125978757,2.020408789
CALB2,2106.945921,3016.455147,2935.317888,2431.89166,1773.636261,2589.367566,2025.799844,2009.223252,1490.660346,1805.054566,1802.021222,1956.765912
ENSGALG00000026906,164.8197592,171.682137,145.3632664,237.2135573,184.3482492,173.319244,195.440284,146.5058621,168.1770647,206.2919503,201.1414644,206.0816965
DOK3,12.36148194,22.31867781,7.65069823,16.29711462,15.64860914,20.29370895,22.35663765,10.46470444,11.46661805,13.33784162,15.47242034,11.11224834
ARF6,586.483643,820.6406149,1277.666604,637.3982609,666.7834188,703.1495912,695.9404946,777.8763631,584.7975205,738.0272362,646.7471702,922.3166121
ENSGALG00000026945,1.373497993,1.71682137,5.100465487,2.263488142,2.290040362,3.290871722,2.884727439,3.488234812,2.548137344,0.889189441,0,4.040817578
ADD2,4.120493979,6.86728548,10.20093097,4.074278656,13.74024217,4.387828962,7.211818597,13.95293925,2.548137344,9.781083853,8.251957515,3.030613183
SEMA4G,2.746995986,3.43364274,2.550232743,6.790464427,4.198407331,5.484786203,3.605909298,10.46470444,5.096274689,3.556757765,5.157473447,7.071430761
FPGT,93.39786353,130.4784241,102.0093097,92.80301383,79.76973928,116.8259461,90.14773246,101.1588095,72.62191431,100.4784068,107.2754477,76.77553397
ENSGALG00000026970,560.3871812,727.9322609,517.6972469,336.8070356,316.7889168,428.910281,2304.897224,2992.905469,2395.249104,1947.324876,2934.602391,2708.357981
RRAGD,68.67489965,49.78781973,22.95209469,50.70213439,49.23586779,54.84786203,49.76154832,57.5558744,38.22206017,54.24055591,66.01566012,50.51021972
RPL29,1361.136511,970.0040741,1162.906131,1161.622115,1088.150845,1375.58438,1143.073248,1042.982209,1056.202929,900.7489039,857.1720869,1019.296234
NHSL1,2.746995986,1.71682137,5.100465487,2.263488142,4.198407331,1.645435861,4.327091158,1.744117406,2.548137344,2.667568323,8.251957515,1.010204394
CHRD,0,0,5.100465487,0.452697628,1.908366968,0,2.884727439,0,0,2.667568323,1.031494689,2.020408789
ENSGALG00000026991,0,10.30092822,0,0.905395257,1.526693575,0.54847862,2.163545579,0,1.274068672,0.889189441,0,0
SNRPB2,173.0607471,144.2129951,160.6646628,170.2143083,125.9522199,169.4798937,144.2363719,153.4823317,179.6436828,147.6054472,154.7242034,166.6837251
gga-mir-6693,2.746995986,0,2.550232743,1.810790514,3.816733937,0,2.163545579,6.976469624,3.822206017,5.335136647,1.031494689,0
